+FC,AddressAccuracy,AvgSpeed,BC,BL,BR,DR,DS,DU,DZ,DewPoint,FC,FG,FG+,FU,FZ,GR,GS,HZ,IC,MI,PL,PO,PR,PY,PrecipTotal,RA,ResultDir,ResultSpeed,SA,SG,SH,SN,SQ,SS,SeaLevel,StnPressure,TS,Tavg,Tmax,Tmin,UP,VA,VC,WetBulb,daylen,dist_fr_1,dist_fr_2,CULEX ERRATICUS,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,UNSPECIFIED CULEX,05,06,07,08,09,10
0.0,9,6.843276122284359,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.38141791364929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.237164172701423,5.8,0.0,0.0,0.0,0.0,0.0,0.0,30.102371641727014,29.40907089568246,0.0,75.14425374094787,88.00000000000001,61.90708956824644,0.0,0.0,0.0,65.38141791364929,896.0,11.822003611253361,19.172879398157818,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.0,9,6.843276122284359,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.38141791364929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.237164172701423,5.8,0.0,0.0,0.0,0.0,0.0,0.0,30.102371641727014,29.40907089568246,0.0,75.14425374094787,88.00000000000001,61.90708956824644,0.0,0.0,0.0,65.38141791364929,896.0,11.822003611253361,19.172879398157818,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,9,6.831560637240452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.36840070804494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.263198583910107,5.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,30.102631985839096,29.408420035402248,0.0,75.10520212413485,88.0,61.84200354022474,0.0,0.0,0.0,65.36840070804494,895.9999999999999,13.565470284286869,23.257125297239046,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,8,6.768802667155623,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.29866963017291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.40266073965417,5.8,0.0,0.0,0.0,0.0,0.0,0.0,30.104026607396538,29.404933481508646,0.0,74.89600889051874,87.99999999999999,61.49334815086457,0.0,0.0,0.0,65.29866963017291,896.0,9.261594960896304,21.74790190537127,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.0,8,6.768802667155623,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.29866963017291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.40266073965417,5.8,0.0,0.0,0.0,0.0,0.0,0.0,30.104026607396538,29.404933481508646,0.0,74.89600889051874,87.99999999999999,61.49334815086457,0.0,0.0,0.0,65.29866963017291,896.0,9.261594960896304,21.74790190537127,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,8,7.027243487597976,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.585826097331086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.828347805337835,5.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,30.09828347805338,29.419291304866558,0.0,75.75747829199327,88.0,62.929130486655424,0.0,0.0,0.0,65.58582609733108,896.0000000000001,23.553810719623637,16.652337191728385,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,8,7.0804979846356195,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64499776070624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.710004478587514,5.8,0.0,0.0,0.0,0.0,0.0,0.0,30.097100044785876,29.422249888035314,0.0,75.93499328211873,88.0,63.224988803531225,0.0,0.0,0.0,65.64499776070623,896.0,25.817124865405756,14.209564277107159,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,8,7.121979179639873,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.691087977377634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.617824045244724,5.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,30.096178240452446,29.424554398868878,0.0,76.0732639321329,88.0,63.455439886888186,0.0,0.0,0.0,65.69108797737763,895.9999999999999,27.136705000277686,12.129938160335623,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.0,8,7.121979179639873,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.691087977377634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.617824045244724,5.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,30.096178240452446,29.424554398868878,0.0,76.0732639321329,88.0,63.455439886888186,0.0,0.0,0.0,65.69108797737763,895.9999999999999,27.136705000277686,12.129938160335623,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,8,7.071678489565673,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.63519832173963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.729603356520727,5.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,30.097296033565204,29.42175991608698,0.0,75.90559496521891,88.0,63.17599160869818,0.0,0.0,0.0,65.63519832173964,896.0,25.50959562110453,14.650453214101239,0,0,0,1,0,0,0,0,1,0,0,0,0,0
